Tipo de orçamento;Tipo de alguma coisa;Itens;Discriminação;Unidades;Quant;Vl unit;Vl total;Observações;Anexo;Status 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;22;"Pen Drive 16GB USB 2.0
Cruzer Blade SDCZ50
SanDisk";und;5;25,90;129,50;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 ( para armazenamento e envio de informações para;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;12;"Armário 2
Portas Aço 4 Prateleiras";und;5;1499,00;7495,00;Serão utilizados para o alcance do objetivo geral (organização do ambiente de trabalho);Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;10;Armário de Parede com Prateleira para ferramentas;und;1;999,00;999,00;Alinhado ao objetivo geral (organização do espaço de trabalho);Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;11;Bancada Aberta de 2 Metros com Tampo de Madeira e 2 Gavetas;und;2;1389,90;2779,80;"Serão utilizadas para o alcance dos  OE 1, 2, 3, 4,
5 e 6 ( ergonomia na estação de trabalho)";Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;14;Cadeira de escritório sem braços;und;10;573,75;5737,50;Serão utilizadas como auxílio aos estudos para o alcance do objetivo geral - ergonomia no ambiente;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;21;"Camara de Lavagem, Secagem e Cura CREALITY UW-
01, Preto";und;1;1210,33;1210,33;será utilizada para secar os componentes impressos em resina;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;23;Case Mala Rigido HT023 Rodízio Espuma Modeladora 35x23x56cm;und;1;976,68;976,68;Será utilizada para o transporte seguro dos robôs para as competições;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;24;"Esmerilhadeira angular Bosch GWS 850 de 4 1/2"" 850W 127V
com maleta";und;1;431,00;431,00;Será utilizada na confecção dos Chassis dos robôs;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;20;Estação De Solda E;und;2;510,00;1020,00;Será utilizada na soldagem de componentes;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;;"Retrabalho 8898d Ar
Quente Soprador";;;;;eletronicos e estruturais;;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;28;"LIVRO:
Primeiros Passos com Sensores: Perceba o Mundo Usando Eletrônica, Arduino e Raspberry Pi";und;1;34,05;34,05;Será utilizado como fonte de pesquisa e para compor a biblioteca técnica da equipe;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;29;LIVRO: Projetos Maker: Arduino Eletrônica Robótica Automação residencial;und;1;65,19;65,19;Será utilizado como fonte de pesquisa e para compor a biblioteca técnica da equipe;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;13;"Mesa de Escritório Miguel Preta 190 cmMesa de
Escritório 190 cm";und;4;521,45;2085,80;Será utilizado como local de estudo para alcance do objetivo geral;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;26;MESA DIGITALIZADO RA ZINNIA MOMENTUM MT100, RESOLUCAO 5080LPI, NIVEIS DE PRESSAO 8192, PRETO, ZNC-ZNM;und;1;247,83;247,83;será utilizada na modelagem dos projetos;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;25;Moto Esmeril de Bancada 150W Bivolt Amarela Vonder - 68.92.150.000;und;1;221,80;221,80;Será utilizada na confecção dos Chassis dos robôs;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;15;Multímetro profissional Fluke;und;2;577,60;1155,20;Será usado para a medição de grandezas físicas tais como: Tensão, Corrente, etc;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;18;Notebook Gamer G15 Ryzen™ Edition;und;1;6145,00;6145,00;"Será usado nas competições e  para o alcance dos OE 1, 2 ,3, 4 e
6";Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;4;"Serra de Corte Rápido Policorte Disco 355mm 3.800 RPM 220v -
Nagano";und;1;854,10;854,10;Será utilizada na confecção dos Chassis dos robôs;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;6;"Serra Fita de Bancada 240x200mm 250w 220v -
Nagano";und;1;598,92;598,92;Será utilizada na confecção dos Chassis;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;17;"Smart Tv 60"" Crystal UHD Samsung 4k 60AU8000
Painel Dynamic Crystal Color Design Slim";und;1;3699,99;3699,99;Será utilizada para treinamentos, pitch e video conferências;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;24;Exaustor de fumaça para bancada;und;1;400,57;400,57;Será utilizada para a sucção da fumaça projetada por processos de soldagem;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;19;"Fonte de Alimentação DC MPS-3005B -
Minipa";und;2;913,18;1826,36;Será usado para a alimentação de grandezas físicas tais como: Tensão, Corrente, etc;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;8;"GoPro HERO10
Black";und;1;3704,05;3704,05;Alinhado ao objetivo geral - registro da equipe nas competições;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;7;Impressora 3D Halot One Plus;und;1;4040,10;4040,10;Será utilizada na confecção dos Chassis de resina;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;3;IMPRESSORA 3D PRO - GTMAX3D CORE A1V2 + SOFTWARE SIMPLIFY3D;und;1;8874,59;8874,59;Será utilizada na confecção dos Chassis;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;16;Kit 04 Câmeras de Segurança Hd 720p Hb Tech + Dvr Intelbras Multi Hd + Acessórios;Conjunto;1;987,23;987,23;Será utilizada para garantir a integridade dos equipamentos e controlar o acesso;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;5;"Kit Microrretífica Série 3000 Vel. Variável 90W com 2 Acoplamentos
,30 Acessórios e Maleta - DREMEL-";und;2;653,22;1306,44;Será utilizada na confecção dos Chassis dos robôs;Sim;
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;9;LEGO® EDUCATION SPIKE PRIME - CONJUNTO EXPANSÃO;Conjunto;5;2119,99;10599,95;Alinhado ao alcance  dos OE 1, 2, 3, e 4. Kits usados na categoria sumô lego;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;1;LEGO® EDUCATION SPIKE PRIME - CONJUNTO PRINCIPAL;und;5;5899,00;29495,00;"Alinhado ao alcance  dos OE 1, 2, 3, e 4.  Kits
usados na categoria sumô lego";Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;30;LIVRO: Arduino Para Robótica;und;1;119,88;119,88;Será utilizado como fonte de pesquisa e para compor a biblioteca técnica da equipe;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;31;LIVRO: Como Montar um Robô;und;1;22,92;22,92;Bibliografia introdutória para treinamento de novos membros;Sim;CANCELADO 
Orçamento detalhado de Capital;Material Permanente e Equipamento Nacional;27;"LIVRO:
Eletrônica Para Makers: Um Manual Prático Para o Novo Entusiasta de Eletrônica Capa";und;1;63,16;63,16;Será utilizado como fonte de pesquisa e para compor a biblioteca técnica da equipe;Sim;CANCELADO 
